scenario_id,activity_id,provider_id,service_id,model_id,model_version,model_generation,generation_mode,modality,functional_unit,token_basis,workload_profile_id,input_tokens,output_tokens,reasoning_tokens,hidden_reasoning_disclosure,batch_size,serving_context,energy_wh,energy_wh_low,energy_wh_high,scope_boundary,pue_treatment,carbon_accounting_method,carbon_g_per_unit,carbon_low_g_per_unit,carbon_high_g_per_unit,energy_components,carbon_components,grid_intensity_g_per_kwh,grid_region,grid_vintage_year,service_region,width_px,height_px,frames,fps,denoising_steps,duration_seconds,audio_included,source_id,source_role,source_locator,vintage_year,retrieved_at,uncertainty,publication_status,notes
SCN.JEGHAM.O3.1000+1000,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,o3,not disclosed,2025,ordinary text generation,text,response,1000_input+1000_output_tokens,jegham-1000+1000,1000,1000,,not disclosed,1,inferred production-style serving,21.414,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 1000+1000 input + output tokens,2025,2026-08-17,"{""type"": ""standard-deviation"", ""valueWh"": 14.273}",estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.DEEPSEEKR1.1000+1000,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,DeepSeek-R1,not disclosed,2025,ordinary text generation,text,response,1000_input+1000_output_tokens,jegham-1000+1000,1000,1000,,not disclosed,1,inferred production-style serving,29.0,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 1000+1000 input + output tokens,2025,2026-08-17,"{""type"": ""standard-deviation"", ""valueWh"": 3.069}",estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.CLAUDE37SONNET.1000+1000,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,Claude 3.7 Sonnet,not disclosed,2025,ordinary text generation,text,response,1000_input+1000_output_tokens,jegham-1000+1000,1000,1000,,not disclosed,1,inferred production-style serving,2.781,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 1000+1000 input + output tokens,2025,2026-08-17,"{""type"": ""standard-deviation"", ""valueWh"": 0.277}",estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.CLAUDE37SONNETET.1000+1000,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,Claude 3.7 Sonnet ET,not disclosed,2025,extended-thinking text generation,text,response,1000_input+1000_output_tokens,jegham-1000+1000,1000,1000,not disclosed,not disclosed,1,inferred production-style serving,5.683,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 1000+1000 input + output tokens,2025,2026-08-17,"{""type"": ""standard-deviation"", ""valueWh"": 0.508}",estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.GPT41.10000+1500,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,GPT-4.1,not disclosed,2025,ordinary text generation,text,response,10000_input+1500_output_tokens,jegham-10000+1500,10000,1500,,not disclosed,1,inferred production-style serving,4.233,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 10000+1500 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.GPT41NANO.10000+1500,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,GPT-4.1 nano,not disclosed,2025,ordinary text generation,text,response,10000_input+1500_output_tokens,jegham-10000+1500,10000,1500,,not disclosed,1,inferred production-style serving,0.454,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 10000+1500 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.O3.10000+1500,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,o3,not disclosed,2025,ordinary text generation,text,response,10000_input+1500_output_tokens,jegham-10000+1500,10000,1500,,not disclosed,1,inferred production-style serving,39.223,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 10000+1500 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.DEEPSEEKR1.10000+1500,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,DeepSeek-R1,not disclosed,2025,ordinary text generation,text,response,10000_input+1500_output_tokens,jegham-10000+1500,10000,1500,,not disclosed,1,inferred production-style serving,33.634,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 10000+1500 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.CLAUDE37SONNET.10000+1500,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,Claude 3.7 Sonnet,not disclosed,2025,ordinary text generation,text,response,10000_input+1500_output_tokens,jegham-10000+1500,10000,1500,,not disclosed,1,inferred production-style serving,5.518,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 10000+1500 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.JEGHAM.CLAUDE37SONNETET.10000+1500,AI.USAGE.LLM.SCENARIO,benchmark,inference benchmark,Claude 3.7 Sonnet ET,not disclosed,2025,extended-thinking text generation,text,response,10000_input+1500_output_tokens,jegham-10000+1500,10000,1500,not disclosed,not disclosed,1,inferred production-style serving,17.045,,,Operational estimate; Scope 3 embodied impacts excluded,Inferred PUE and regional multiplier included by source; no additional PUE,,,,,,,,,,,,,,,,,,SRC.JEGHAM.2025,independent benchmark,Table 1; 10000+1500 input + output tokens,2025,2026-08-17,,estimate,Mean energy is workload- and model-specific; do not normalize into a provider factor
SCN.LUCCIONI.TEXT.INFERENCE.2024,AI.USAGE.LLM.SCENARIO,open-model benchmark,A100 inference study,88-model sample,not disclosed,2024,ordinary text generation,text,inference,10 new output tokens,luccioni-short-text,,10,,not disclosed,1,single GPU sequential inference; idle power of remaining GPUs included,0.047,,,GPU/node-boundary measurement; hosted service PUE and lifecycle excluded,No data-centre PUE; idle node power included,,,,,,,,,,,,,,,,,,SRC.LUCCIONI.POWER.2024,independent measurement,Table task summary; text generation per inference,2024,2026-08-17,"{""type"": ""standard-deviation"", ""valueWh"": 0.03}",estimate,"Mean of 1,000-inference measurement; source generated 10 new tokens"
SCN.LUCCIONI.IMAGE.INFERENCE.2024,AI.IMAGE.GENERATION.PROMPT,open-model benchmark,A100 inference study,88-model sample,not disclosed,2024,image generation,image,image,not applicable,luccioni-image,,,,not applicable,1,single GPU sequential inference; idle power of remaining GPUs included,2.907,,,GPU/node-boundary measurement; hosted service PUE and lifecycle excluded,No data-centre PUE; idle node power included,,,,,,,,,,,not disclosed,not disclosed,,,not disclosed,,,SRC.LUCCIONI.POWER.2024,independent measurement,Table task summary; image generation per inference,2024,2026-08-17,"{""type"": ""standard-deviation"", ""valueWh"": 3.31}",estimate,"Historical diffusion benchmark; resolution, steps, sampler, and model family not disclosed"
SCN.DELAVANDE.WAN2.1.T2V.1.3B.VIDEO.2025,AI.VIDEO.GENERATION.SCENARIO,open-model benchmark,text-to-video study,WAN2.1-T2V-1.3B,not disclosed,2025,video generation,video,video_clip,not applicable,delavande-default-video,,,,not applicable,1,single NVIDIA H100 SXM; CodeCarbon GPU/CPU plus RAM heuristic,90.5,,,"GPU+CPU+RAM device-boundary measurement; data-centre PUE, idle-capacity, and lifecycle excluded",No data-centre PUE; device-boundary components measured/estimated separately,,,,,"[{""name"": ""GPU"", ""valueWh"": 78.8}, {""name"": ""CPU"", ""valueWh"": 7.4}, {""name"": ""RAM"", ""valueWh"": 4.3}]",,,,,,1280,720,81,15,50,5.4,not disclosed,SRC.DELAVANDE.VIDEO.2025,independent measurement,"Default configuration; 720 x 1280, 81 frames at 15 FPS, 50 denoising steps",2025,2026-08-17,,estimate,Video energy scales with spatial resolution and frame count approximately quadratically and denoising steps linearly
SCN.DELAVANDE.WAN2.1.T2V.14B.VIDEO.2025,AI.VIDEO.GENERATION.SCENARIO,open-model benchmark,text-to-video study,WAN2.1-T2V-14B,not disclosed,2025,video generation,video,video_clip,not applicable,delavande-default-video,,,,not applicable,1,single NVIDIA H100 SXM; CodeCarbon GPU/CPU plus RAM heuristic,415.1,,,"GPU+CPU+RAM device-boundary measurement; data-centre PUE, idle-capacity, and lifecycle excluded",No data-centre PUE; device-boundary components measured/estimated separately,,,,,"[{""name"": ""GPU"", ""valueWh"": 359.7}, {""name"": ""CPU"", ""valueWh"": 35.6}, {""name"": ""RAM"", ""valueWh"": 19.8}]",,,,,,1280,720,81,15,50,5.4,not disclosed,SRC.DELAVANDE.VIDEO.2025,independent measurement,"Default configuration; 720 x 1280, 81 frames at 15 FPS, 50 denoising steps",2025,2026-08-17,,estimate,Video energy scales with spatial resolution and frame count approximately quadratically and denoising steps linearly
SCN.JEGHAM.VEO3.VIDEO.2026,AI.VIDEO.GENERATION.SCENARIO,Google,Veo 3,Veo 3,not disclosed,2026,video generation,video,video_clip,not applicable,proprietary-8s-720p,,,,not applicable,not disclosed,Fal.ai API latency with inferred hardware and device/node power,19.8,19.8,43.4,"Device/node estimate; no provider telemetry, data-centre PUE, or lifecycle allocation",No data-centre PUE or lifecycle allocation,,,,,,,,,,,1280,720,not disclosed,not disclosed,not disclosed,8,included in reported native-audio runs,SRC.DELAVANDE.PROPRIETARY.2026,independent estimate,Veo 3 8-second 720p estimate range,2026,2026-08-17,,estimate,Closed-model estimate; not a production factor
SCN.JEGHAM.SORA2.PRO.VIDEO.2026,AI.VIDEO.GENERATION.SCENARIO,OpenAI,Sora 2.0 Pro,Sora 2.0 Pro,not disclosed,2026,video generation,video,video_clip,not applicable,proprietary-12s-1080p,,,,not applicable,not disclosed,Fal.ai API latency with inferred hardware and device/node power,1313,,,"Device/node estimate; no provider telemetry, data-centre PUE, or lifecycle allocation",No data-centre PUE or lifecycle allocation,,,,,,,,,,,1920,1080,not disclosed,not disclosed,not disclosed,12,included in reported native-audio runs,SRC.DELAVANDE.PROPRIETARY.2026,independent estimate,Sora 2.0 Pro mean 12-second 1080p estimate,2026,2026-08-17,,estimate,Closed-model estimate; not a production factor
SCN.MISTRAL.LECHAT.RESPONSE.2025,AI.USAGE.LLM.SCENARIO,Mistral AI,Le Chat,not disclosed,400-token response,2025,ordinary text generation,text,response,400 output tokens,mistral-le-chat-400-response,,400,,not disclosed,not disclosed,lifecycle study; excludes user terminals,,,,Lifecycle estimate includes upstream emissions such as server manufacturing; operational energy not disclosed,Not applicable to lifecycle total,lifecycle-assessment,1.14,,,,"[{""name"": ""lifecycle total"", ""valueGCO2e"": 1.14, ""basis"": ""includes upstream emissions; excludes user terminals""}]",,,,,,,,,,,,SRC.MISTRAL.LCA.2025,first-party lifecycle disclosure,Inference bullet; marginal impact of 400-token Le Chat response,2025,2026-08-17,,published,Direct lifecycle carbon disclosure; do not merge with operational Wh scenarios
SCN.ANTHROPIC.CLAUDE3.UNAVAILABLE.2024,AI.USAGE.LLM.SCENARIO,Anthropic,Claude,Claude 3 family,"Opus, Sonnet, Haiku",2024,ordinary text generation,text,prompt,not disclosed,anthropic-family-review,,,,not disclosed,1,provider model-family page; no per-query energy metric,,,,No per-query energy or carbon disclosure on reviewed page,not disclosed,,,,,,,,,,,,,,,,,,SRC.ANTHROPIC.CLAUDE.2024,provider model-family page,Reviewed page contains no per-query energy factor,2024,2026-08-17,,unavailable,Unavailable until model- and workload-specific energy evidence is supplied
