stream_id,dataset_path,schema_version,record_key,transport,cadence,retention,timestamp_policy,null_policy,provenance_columns,source_columns,derived_from,publication_surfaces
acx.feedback-loops,feedback_loops.csv,acx.feedback-loops/1-0-0,loop_id,repository-csv,release-gated,git-history,none,blank,loop_id=structural|trigger_activity_id=structural|response_activity_id=structural|sign=structural|lag_years=modelled|strength=modelled|source_id=structural|notes=modelled,source_id,,web-catalog|web-sources|package
acx.functional-units,functional_units.csv,acx.functional-units/1-0-0,functional_unit_id,repository-csv,release-gated,git-history,none,blank,functional_unit_id=structural|name=external|domain=structural|si_equiv=structural|notes=external,,,derive|web-calculator|web-catalog|package
acx.grid-intensity,grid_intensity.csv,acx.grid-intensity/1-0-0,region_code|vintage_year,repository-csv,release-gated,git-history,none,blank,region_code=structural|region=structural|scope_boundary=external|gwp_horizon=external|vintage_year=external|g_per_kwh=external|g_per_kwh_low=external|g_per_kwh_high=external|source_id=structural,source_id,,derive|web-calculator|web-catalog|web-sources|package
acx.icons,icons.csv,acx.icons/1-0-0,icon_id,repository-csv,release-gated,git-history,none,blank,icon_id=structural|slug=structural|layer_id=structural|activity_id=structural|description=external,,,web-catalog|package
acx.layers,layers.csv,acx.layers/1-0-0,layer_id,repository-csv,release-gated,git-history,none,blank,layer_id=structural|layer_name=external|layer_type=structural|description=external|ui_optional=structural|icon_slug=structural|example_activities=external,,,web-catalog|package
acx.operations,operations.csv,acx.operations/1-0-0,operation_id,repository-csv,release-gated,git-history,iso-date,blank,operation_id=structural|asset_id=structural|activity_id=structural|layer_id=structural|functional_unit_id=structural|utilization_basis=modelled|period_start=external|period_end=external|throughput_value=modelled|throughput_unit=structural|notes=modelled,notes,,derive|web-catalog|package
acx.profiles,profiles.csv,acx.profiles/1-0-0,profile_id,repository-csv,release-gated,git-history,none,blank,profile_id=structural|sector_id=structural|layer_id=structural|name=external|region_code_default=structural|grid_strategy=modelled|grid_mix_json=modelled|cohort_id=structural|office_days_per_week=modelled|assumption_notes=modelled,assumption_notes,,derive|web-calculator|web-catalog|package
acx.sectors,sectors.csv,acx.sectors/1-0-0,sector_id,repository-csv,release-gated,git-history,none,blank,sector_id=structural|name=external|description=external,,,derive|web-catalog|package
acx.sites,sites.csv,acx.sites/1-0-0,site_id,repository-csv,release-gated,git-history,none,blank,site_id=structural|entity_id=structural|name=external|region_code=structural|lat=external|lon=external|notes=external,,,derive|web-catalog|package
acx.sources,sources.csv,acx.sources/1-0-0,source_id,repository-csv,release-gated,git-history,iso-date,blank,source_id=structural|ieee_citation=external|url=external|year=external|license=external|review_due_at=external,,,web-sources|web-calculator|web-catalog|package
acx.units,units.csv,acx.units/1-0-0,unit_code,repository-csv,release-gated,git-history,none,blank,unit_code=structural|unit_type=structural|si_conversion_factor=derived|notes=external,,,derive|web-calculator|web-catalog|package
acx.owid-source,owid/manifest.json,acx.owid-source/1-0-0,chartId|entityCode,repository-json,manual-snapshot,git-history,rfc3339-utc,blank,chartId=structural|entityCode=structural|provider=external|metric=external|dataUrl=external|metadataUrl=external|resolvedDataUrl=external|resolvedMetadataUrl=external|retrievedAt=external|upstreamTimespan=external|upstreamLastUpdated=external|license=external|accountingBasis=structural|landUseChange=structural|unit=structural|entity=structural|dataSha256=structural|metadataSha256=structural|citation=external|sourceId=structural,sourceId,owid/annual-co2-emissions-per-country.csv|owid/annual-co2-emissions-per-country.metadata.json,owid-context|web-sources|package
acx.ai-scenarios,ai_scenarios.csv,acx.ai-scenarios/1-0-0,scenario_id,repository-csv,release-gated,git-history,iso-date,blank,scenario_id=structural|activity_id=structural|provider_id=structural|service_id=structural|model_id=external|model_version=external|model_generation=external|generation_mode=structural|modality=structural|functional_unit=structural|token_basis=structural|workload_profile_id=structural|input_tokens=external|output_tokens=external|reasoning_tokens=external|hidden_reasoning_disclosure=external|batch_size=external|serving_context=external|energy_wh=external|energy_wh_low=external|energy_wh_high=external|scope_boundary=external|pue_treatment=external|carbon_accounting_method=external|carbon_g_per_unit=external|carbon_low_g_per_unit=external|carbon_high_g_per_unit=external|energy_components=external|carbon_components=external|grid_intensity_g_per_kwh=external|grid_region=structural|grid_vintage_year=external|service_region=external|width_px=external|height_px=external|frames=external|fps=external|denoising_steps=external|duration_seconds=external|audio_included=external|source_id=structural|source_role=external|source_locator=external|vintage_year=external|retrieved_at=external|uncertainty=external|publication_status=structural|notes=external,source_id,,web-catalog|web-sources|package
